CONTENT ID	CONTENT TYPE	LIPID ID	SPECIES	EXPERIMENT ID	METHODS
130	lipid	BMP18:1/18:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
131	lipid	BMP18:1/16:0 	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
132	lipid	CL(18:1)3/16:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
133	lipid	CL(18:1)2/(16:1)2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
134	lipid	Ganglioside GM3 24:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
135	lipid	Ganglioside GM3 16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
136	lipid	PE40:5	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
137	lipid	PE40:6	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
138	lipid	PE38:3	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
139	lipid	PE38:4	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
140	lipid	PE36:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
141	lipid	PE36:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
142	lipid	PE34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
143	lipid	PE34:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
144	lipid	PE-ether38:5	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
145	lipid	PE-ether38:6	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
146	lipid	PE-ether34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
147	lipid	PE-ether34:2	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
148	lipid	PC34:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
149	lipid	PC36:4	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
150	lipid	PC34:3	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
151	lipid	PC32:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
152	lipid	PC30:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
153	lipid	SM24:1	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
154	lipid	SM16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
155	lipid	Dihydrosphingomyelin16:0	Homo sapiens	11	HPLC|Thin layer chromatography|Mass spectrometry [MALDI TOF]|Mass spectrometry [QTOF]
156	lipid	Phosphatidylethanolamine (PE)	Ovis aries	2	Thin layer chromatography
157	lipid	Phosphatidylcholine (PC)	Ovis aries	2	Thin layer chromatography
158	lipid	Sphingomyelin (SM)	Ovis aries	2	Thin layer chromatography
159	lipid	Phosphatidylserine (PS)	Ovis aries	2	Thin layer chromatography
160	lipid	Phosphatidic acid (PA)	Ovis aries	2	Thin layer chromatography
161	lipid	Sphingomyelin (SM)	Mus musculus	130	Mass spectrometry [QTOF]
162	lipid	Phosphatidylethanolamine (PE)	Mus musculus	130	Mass spectrometry [QTOF]
163	lipid	Phosphatidylserine (PS)	Mus musculus	130	Mass spectrometry [QTOF]
164	lipid	Cholesterol (Chol)	Mus musculus	130	Mass spectrometry [QTOF]
165	lipid	Ceramide (Cer)	Mus musculus	130	Mass spectrometry [QTOF]
166	lipid	Hexosylceramide (HC)	Mus musculus	130	Mass spectrometry [QTOF]
167	lipid	Phosphatidylcholine (PC)	Mus musculus	130	Mass spectrometry [QTOF]
168	lipid	PC30:2	Mus musculus	130	Mass spectrometry [QTOF]
169	lipid	PC30:0	Mus musculus	130	Mass spectrometry [QTOF]
170	lipid	PC32:1	Mus musculus	130	Mass spectrometry [QTOF]
171	lipid	PC34:4	Mus musculus	130	Mass spectrometry [QTOF]
172	lipid	PC34:2	Mus musculus	130	Mass spectrometry [QTOF]
173	lipid	PC34:0	Mus musculus	130	Mass spectrometry [QTOF]
174	lipid	PC36:4	Mus musculus	130	Mass spectrometry [QTOF]
175	lipid	PC36:2	Mus musculus	130	Mass spectrometry [QTOF]
176	lipid	PC36:0	Mus musculus	130	Mass spectrometry [QTOF]
177	lipid	PC38:6	Mus musculus	130	Mass spectrometry [QTOF]
178	lipid	PC38:4	Mus musculus	130	Mass spectrometry [QTOF]
179	lipid	PC38:2	Mus musculus	130	Mass spectrometry [QTOF]
180	lipid	PC38:0	Mus musculus	130	Mass spectrometry [QTOF]
181	lipid	PC40:7	Mus musculus	130	Mass spectrometry [QTOF]
182	lipid	PC40:5	Mus musculus	130	Mass spectrometry [QTOF]
183	lipid	Phosphatidylserine (PS)	Homo sapiens	131	Cytofluorographic analysis|Annexin-V-FITC
184	lipid	Phosphatidylserine (PS)	Homo sapiens	132	Cytofluorographic analysis|Annexin-V-FITC
185	lipid	Phosphatidylserine (PS)	Homo sapiens	133	Cytofluorographic analysis|Annexin-V-FITC
186	lipid	Phosphatidylcholine (PC)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
187	lipid	Phosphatidylethanolamine (PE)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
188	lipid	Diacylglycerol (DG)	Rattus norvegicus	134	Cytofluorographic analysis|Annexin-V-FITC
189	lipid	Phosphatidylcholine (PC)	Cavia porcellus	135	Thin layer chromatography
190	lipid	Phosphatidylserine (PS)	Cavia porcellus	135	Thin layer chromatography
191	lipid	Phosphatidylethanolamine (PE)	Cavia porcellus	135	Thin layer chromatography
192	lipid	Sphingomyelin (SM)	Cavia porcellus	135	Thin layer chromatography
193	lipid	Phosphatidylinositol (PI)	Cavia porcellus	135	Thin layer chromatography
194	lipid	Cholesterol (Chol)	Cavia porcellus	135	Thin layer chromatography
195	lipid	8-iso-PG-F2a	Homo sapiens	152	FACS
196	lipid	Phosphatidylserine (PS)	Homo sapiens	221	Immunoaffinity
197	lipid	Phosphatidylserine (PS)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
198	lipid	Phosphatidylcholine (PC)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
199	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	232	Thin layer chromatography|Cytofluorographic analysis
200	lipid	Lysophosphatidylcholine (LPC)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
201	lipid	Lysophosphatidic acid (LPA)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
202	lipid	Sphingosine (SPH)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
203	lipid	Phosphatidylserine (PS)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
204	lipid	Phosphatidylcholine (PC)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
205	lipid	Phosphatidylethanolamine (PE)	Homo sapiens	233	Thin layer chromatography|Cytofluorographic analysis
